case_id,true_label,violation_type,violation_layer
0,violation,business_definition_changed,semantic
1,violation,requiredness_changed,contract
2,violation,range_changed,contract
3,violation,range_changed,contract
4,violation,business_definition_changed,semantic
5,violation,unit_changed,semantic
6,violation,enum_domain_changed,contract
7,violation,uniqueness_changed,contract
8,violation,business_definition_changed,semantic
9,violation,lineage_source_changed,semantic
10,violation,enum_domain_changed,contract
11,clean,,
12,violation,column_removed,structural
13,clean,,
14,clean,,
15,clean,,
16,violation,column_removed,structural
17,violation,unit_changed,semantic
18,violation,requiredness_changed,contract
19,violation,column_removed,structural
20,violation,lineage_source_changed,semantic
21,violation,range_changed,contract
22,violation,business_definition_changed,semantic
23,violation,type_changed,structural
24,violation,column_added,structural
25,violation,type_changed,structural
26,violation,enum_domain_changed,contract
27,violation,column_added,structural
28,clean,,
29,clean,,
30,violation,business_definition_changed,semantic
31,violation,business_definition_changed,semantic
32,violation,business_definition_changed,semantic
33,violation,enum_domain_changed,contract
34,violation,column_removed,structural
35,violation,column_removed,structural
36,clean,,
37,violation,lineage_source_changed,semantic
38,violation,column_removed,structural
39,violation,business_definition_changed,semantic
40,clean,,
41,violation,lineage_source_changed,semantic
42,violation,unit_changed,semantic
43,clean,,
44,violation,column_added,structural
45,clean,,
46,violation,business_definition_changed,semantic
47,violation,requiredness_changed,contract
48,clean,,
49,violation,uniqueness_changed,contract
50,violation,range_changed,contract
51,violation,type_changed,structural
52,clean,,
53,violation,column_removed,structural
54,violation,unit_changed,semantic
55,violation,uniqueness_changed,contract
56,violation,unit_changed,semantic
57,violation,type_changed,structural
58,clean,,
59,clean,,
60,violation,type_changed,structural
61,clean,,
62,violation,column_added,structural
63,violation,type_changed,structural
64,violation,enum_domain_changed,contract
65,violation,column_removed,structural
66,clean,,
67,violation,uniqueness_changed,contract
68,violation,uniqueness_changed,contract
69,violation,uniqueness_changed,contract
70,violation,business_definition_changed,semantic
71,clean,,
72,violation,column_added,structural
73,violation,type_changed,structural
74,clean,,
75,clean,,
76,violation,lineage_source_changed,semantic
77,violation,type_changed,structural
78,violation,range_changed,contract
79,violation,type_changed,structural
80,violation,range_changed,contract
81,violation,uniqueness_changed,contract
82,clean,,
83,violation,unit_changed,semantic
84,violation,unit_changed,semantic
85,violation,type_changed,structural
86,violation,requiredness_changed,contract
87,violation,enum_domain_changed,contract
88,violation,column_removed,structural
89,violation,unit_changed,semantic
90,violation,business_definition_changed,semantic
91,violation,unit_changed,semantic
92,clean,,
93,violation,range_changed,contract
94,violation,range_changed,contract
95,violation,requiredness_changed,contract
96,violation,type_changed,structural
97,clean,,
98,clean,,
99,violation,range_changed,contract
100,violation,requiredness_changed,contract
101,violation,range_changed,contract
102,clean,,
103,violation,lineage_source_changed,semantic
104,violation,unit_changed,semantic
105,violation,enum_domain_changed,contract
106,violation,column_added,structural
107,violation,business_definition_changed,semantic
108,violation,uniqueness_changed,contract
109,violation,unit_changed,semantic
110,violation,lineage_source_changed,semantic
111,clean,,
112,violation,unit_changed,semantic
113,violation,lineage_source_changed,semantic
114,violation,uniqueness_changed,contract
115,violation,requiredness_changed,contract
116,violation,column_added,structural
117,violation,business_definition_changed,semantic
118,clean,,
119,violation,type_changed,structural
120,clean,,
121,violation,column_added,structural
122,clean,,
123,violation,lineage_source_changed,semantic
124,violation,requiredness_changed,contract
125,violation,uniqueness_changed,contract
126,violation,range_changed,contract
127,violation,requiredness_changed,contract
128,violation,column_added,structural
129,violation,business_definition_changed,semantic
130,violation,requiredness_changed,contract
131,violation,business_definition_changed,semantic
132,violation,lineage_source_changed,semantic
133,violation,range_changed,contract
134,clean,,
135,clean,,
136,violation,range_changed,contract
137,clean,,
138,violation,enum_domain_changed,contract
139,clean,,
140,clean,,
141,violation,requiredness_changed,contract
